player_name,format,country,matches_played,batting_innings,not_outs,runs_scored,highest_score,batting_average,balls_faced,batting_strike_rate,hundreds,fifties,overs_bowled,wickets,bowling_average,economy_rate,bowling_strike_rate,label
S E Marsh,odi,Australia,73,0,4,2773,151,40.78,3406,81.42,7,15,0.0,0,40.78,0.0,0.0,Batsman
D R Martyn,odi,Australia,208,0,51,5346,144,40.81,6877,77.74,5,37,132.3,12,58.67,5.32,66.17,Batsman
G R J Matthews,odi,Australia,59,0,13,619,54,16.73,911,67.95,0,1,468.0,57,35.16,4.28,49.26,Bowler
G J Maxwell*,odi,Australia,149,0,18,3990,201,33.81,3149,126.71,4,23,667.0,77,47.32,5.46,51.97,All-Rounder
T B A May,odi,Australia,47,0,8,39,15,9.75,52,75.0,0,0,417.3,39,45.44,4.25,64.21,Bowler
R B McCosker,odi,Australia,14,0,0,320,95,22.86,653,49.0,0,2,0.0,0,22.86,0.0,0.0,Batsman
R J McCurdy,odi,Australia,11,0,2,33,13,8.25,71,46.48,0,0,85.8,12,31.25,4.37,42.92,Bowler
B R McDermott*,odi,Australia,5,0,0,223,104,44.6,278,80.22,1,1,0.0,0,44.6,0.0,0.0,Batsman
C J McDermott,odi,Australia,138,0,17,432,37,7.08,492,87.8,0,0,1243.5,203,24.72,4.04,36.75,Bowler
G D McGrath,odi,Australia,249,0,38,115,11,3.97,235,48.94,0,0,2154.7,380,21.98,3.88,34.02,Bowler
C J McKay,odi,Australia,59,0,10,190,30,9.05,337,56.38,0,0,494.2,97,24.37,4.78,30.57,Bowler
T M Moody,odi,Australia,76,0,12,1211,89,23.29,1747,69.32,0,10,466.2,52,38.73,4.32,53.79,All-Rounder
S P O'Donnell,odi,Australia,87,0,15,1242,74,25.35,1534,80.96,0,9,725.0,108,28.72,4.28,40.28,All-Rounder
T D Paine,odi,Australia,35,0,3,890,111,27.81,1257,70.8,1,5,0.0,0,27.81,0.0,0.0,Batsman
L S Pascoe,odi,Australia,29,0,7,39,15,9.75,102,38.24,0,0,261.3,53,20.11,4.08,29.58,Bowler
J L Pattinson,odi,Australia,15,0,4,42,13,10.5,80,52.5,0,0,121.2,16,42.56,5.62,45.44,Bowler
W B Phillips,odi,Australia,48,0,6,852,75,24.34,994,85.71,0,6,0.0,0,24.34,0.0,0.0,Batsman
R T Ponting,odi,Australia,374,0,39,13589,164,41.81,16944,80.2,29,82,25.0,3,34.67,4.16,50.0,Batsman
C G Rackemann,odi,Australia,52,0,6,34,9,2.83,77,44.16,0,0,465.2,82,22.35,3.94,34.04,Bowler
I R Redpath,odi,Australia,5,0,0,46,24,9.2,67,68.66,0,0,0.0,0,9.2,0.0,0.0,Batsman
B A Reid,odi,Australia,61,0,8,49,10,3.77,117,41.88,0,0,541.7,63,34.97,4.07,51.59,Bowler
P R Reiffel,odi,Australia,92,0,21,503,58,13.97,709,70.94,0,1,788.7,106,29.21,3.93,44.64,Bowler
J A Richardson*,odi,Australia,15,0,4,93,29,18.6,107,86.92,0,0,135.0,27,29.37,5.87,30.0,Bowler
K W Richardson*,odi,Australia,25,0,7,75,24,15.0,68,110.29,0,0,218.7,39,31.79,5.67,33.64,Bowler
G M Ritchie,odi,Australia,44,0,7,959,84,27.4,1479,64.84,0,6,0.0,0,27.4,0.0,0.0,Batsman
S J Rixon,odi,Australia,6,0,3,40,20,13.33,98,40.82,0,0,0.0,0,13.33,0.0,0.0,Batsman
G R Robertson,odi,Australia,13,0,4,45,15,15.0,55,81.82,0,0,99.5,8,53.75,4.32,74.63,Bowler
D J M Short,odi,Australia,8,0,1,211,69,30.14,269,78.44,0,1,15.0,0,0.0,7.6,0.0,Batsman
M W Short*,odi,Australia,18,0,0,392,74,24.5,421,93.11,0,3,56.0,2,161.5,5.77,168.0,Batsman
P M Siddle,odi,Australia,20,0,3,31,10,10.33,30,103.33,0,0,150.2,17,43.71,4.95,53.0,Bowler
M J Slater,odi,Australia,42,0,1,987,73,24.07,1634,60.4,0,9,2.0,0,0.0,5.5,0.0,Batsman
S B Smith,odi,Australia,28,0,2,861,117,39.14,1319,65.28,2,8,1.2,0,0.0,4.29,0.0,Batsman
S P D Smith*,odi,Australia,170,0,20,5800,164,43.28,6669,86.97,12,35,179.3,28,34.68,5.41,38.43,Batsman
K R Stackpole,odi,Australia,6,0,0,224,61,37.33,387,57.88,0,3,12.8,3,18.0,4.21,25.67,Batsman
B Stanlake,odi,Australia,7,0,2,4,2,1.33,28,14.29,0,0,59.0,7,46.29,5.49,50.57,Bowler
M A Starc*,odi,Australia,130,0,27,583,52,11.66,756,77.12,0,1,1106.3,247,23.59,5.27,26.87,Bowler
M P Stoinis*,odi,Australia,71,0,8,1495,146,26.7,1591,93.97,1,6,345.2,48,43.13,6.0,43.15,Batsman
A Symonds,odi,Australia,198,0,33,5088,156,39.75,5504,92.44,6,30,989.2,133,37.26,5.01,44.62,All-Rounder
S W Tait,odi,Australia,35,0,5,25,11,12.5,29,86.21,0,0,281.3,62,23.56,5.19,27.23,Bowler
M A Taylor,odi,Australia,113,0,1,3514,105,32.24,5907,59.49,1,28,3.0,0,0.0,6.67,0.0,Batsman
P L Taylor,odi,Australia,83,0,25,437,54,19.86,583,74.96,0,1,656.2,97,28.25,4.18,40.59,Bowler
J R Thomson,odi,Australia,50,0,6,181,21,7.54,280,64.64,0,0,449.3,55,35.31,4.32,49.02,Bowler
P M Toohey,odi,Australia,5,0,2,105,54,52.5,133,78.95,0,1,0.0,0,52.5,0.0,0.0,Batsman
A Turner,odi,Australia,6,0,0,247,101,41.17,279,88.53,1,0,0.0,0,41.17,0.0,0.0,Batsman
A J Turner*,odi,Australia,9,0,1,192,84,32.0,160,120.0,0,1,14.0,2,30.0,4.29,42.0,Batsman
A J Tye,odi,Australia,7,0,3,57,19,14.25,48,118.75,0,0,64.5,12,32.67,6.08,32.25,Bowler
M R J Veletta,odi,Australia,20,0,4,484,68,32.27,642,75.39,0,2,0.0,0,32.27,0.0,0.0,Batsman
A C Voges,odi,Australia,31,0,9,870,112,45.79,998,87.17,1,4,50.2,6,46.0,5.5,50.17,Batsman
M S Wade*,odi,Australia,97,0,12,1867,100,26.3,2288,81.6,1,11,0.0,0,26.3,0.0,0.0,Batsman
M H N Walker,odi,Australia,17,0,3,79,20,9.88,170,46.47,0,0,167.7,20,27.3,3.26,50.3,Bowler
K D Walters,odi,Australia,28,0,6,513,59,28.5,732,70.08,0,2,52.3,4,68.25,5.22,78.5,Batsman
S K Warne,odi,Australia,193,0,28,1016,55,13.03,1411,72.01,0,1,1766.7,291,25.82,4.25,36.43,All-Rounder
D A Warner,odi,Australia,161,0,6,6932,179,45.31,7127,97.26,22,33,1.0,0,0.0,8.0,0.0,Batsman
S R Watson,odi,Australia,190,0,27,5757,185,40.54,6365,90.45,9,33,1077.7,168,31.8,4.96,38.49,All-Rounder
M E Waugh,odi,Australia,244,0,20,8500,173,39.35,11053,76.9,18,50,614.5,85,34.56,4.78,43.38,All-Rounder
S R Waugh,odi,Australia,325,0,58,7569,120,32.91,9971,75.91,3,45,1480.5,195,34.67,4.57,45.55,All-Rounder
D M Wellham,odi,Australia,17,0,2,379,97,25.27,699,54.22,0,1,0.0,0,25.27,0.0,0.0,Batsman
K C Wessels,odi,Australia,54,0,3,1740,107,36.25,2945,59.08,1,14,122.8,18,36.39,5.33,40.94,Batsman
C L White,odi,Australia,91,0,16,2072,105,33.97,2586,80.12,2,11,55.2,12,29.25,6.36,27.58,Batsman
M R Whitney,odi,Australia,38,0,7,40,9,6.67,90,44.44,0,0,351.0,46,27.15,3.56,45.78,Bowler
J M Wiener,odi,Australia,7,0,0,140,50,20.0,324,43.21,0,1,4.0,0,0.0,8.5,0.0,Batsman
B A Williams,odi,Australia,25,0,4,27,13,13.5,46,58.7,0,0,200.5,35,23.26,4.06,34.37,Bowler
P Wilson,odi,Australia,11,0,2,4,2,1.33,13,30.77,0,0,93.7,13,34.62,4.8,43.23,Bowler
G M Wood,odi,Australia,83,0,11,2219,114,33.62,3725,59.57,3,11,0.0,0,33.62,0.0,0.0,Batsman
K J Wright,odi,Australia,5,0,0,29,23,14.5,52,55.77,0,0,0.0,0,14.5,0.0,0.0,Batsman
G N Yallop,odi,Australia,30,0,6,823,66,39.19,1288,63.9,0,7,23.0,3,39.67,5.17,46.0,Batsman
B Yardley,odi,Australia,7,0,0,58,28,14.5,98,59.18,0,0,33.0,7,18.57,3.94,28.29,Bowler
B E Young,odi,Australia,6,0,1,31,18,15.5,47,65.96,0,0,39.0,1,251.0,6.44,234.0,Batsman
A Zampa*,odi,Australia,116,0,21,378,36,9.95,573,65.97,0,0,1007.7,196,28.59,5.56,30.85,Bowler
T J Zoehrer,odi,Australia,22,0,3,130,50,10.83,183,71.04,0,1,0.0,0,10.83,0.0,0.0,Batsman
C J Adams,odi,England,5,0,0,71,42,17.75,144,49.31,0,0,0.0,0,17.75,0.0,0.0,Batsman
Ajmal Shahzad,odi,England,11,0,2,39,9,6.5,60,65.0,0,0,98.0,17,28.82,5.0,34.59,Bowler
M W Alleyne,odi,England,10,0,1,151,53,21.57,255,59.22,0,1,61.0,10,28.0,4.59,36.6,Bowler
P J W Allott,odi,England,13,0,2,15,8,3.75,25,60.0,0,0,136.5,15,36.8,4.04,54.6,Bowler
T R Ambrose,odi,England,5,0,1,10,6,2.5,34,29.41,0,0,0.0,0,2.5,0.0,0.0,Batsman
D L Amiss,odi,England,18,0,0,859,137,47.72,1185,72.49,4,1,0.0,0,47.72,0.0,0.0,Batsman
J M Anderson,odi,England,194,0,43,273,28,7.58,561,48.66,0,0,1597.3,269,29.22,4.92,35.63,Bowler
J C Archer*,odi,England,36,0,11,207,38,18.82,187,110.7,0,0,315.8,65,24.38,5.02,29.15,Bowler
G G Arnold,odi,England,14,0,3,48,18,16.0,75,64.0,0,0,119.0,19,17.84,2.85,37.58,Bowler
M A Atherton,odi,England,54,0,3,1791,127,35.12,3054,58.64,2,12,0.0,0,35.12,0.0,0.0,Batsman
C W J Athey,odi,England,31,0,3,848,142,31.41,1495,56.72,2,4,1.0,0,0.0,10.0,0.0,Batsman
A A P Atkinson*,odi,England,11,0,2,104,38,17.33,76,136.84,0,0,78.7,13,40.54,6.7,36.31,Bowler
I D Austin,odi,England,9,0,1,34,11,6.8,49,69.39,0,0,79.2,6,60.0,4.55,79.17,Bowler
D L Bairstow,odi,England,21,0,6,206,23,14.71,390,52.82,0,0,0.0,0,14.71,0.0,0.0,Batsman
J M Bairstow*,odi,England,107,0,8,3868,141,42.98,3758,102.93,11,17,0.0,0,42.98,0.0,0.0,Batsman
J T Ball,odi,England,18,0,2,38,28,9.5,49,77.55,0,0,157.8,21,46.67,6.21,45.1,Bowler
G S Ballance*,odi,England,16,0,1,297,79,21.21,443,67.04,0,2,0.0,0,21.21,0.0,0.0,Batsman
T Banton*,odi,England,7,0,0,172,58,28.67,186,92.47,0,1,0.0,0,28.67,0.0,0.0,Batsman
G D Barlow,odi,England,6,0,1,149,80,29.8,255,58.43,0,1,0.0,0,29.8,0.0,0.0,Batsman
G J Batty,odi,England,10,0,2,30,17,5.0,73,41.1,0,0,73.3,5,73.2,4.99,88.0,Bowler
I R Bell,odi,England,161,0,14,5416,141,37.87,7019,77.16,4,35,14.7,6,14.67,6.0,14.67,Batsman
J G Bethell*,odi,England,21,0,1,603,110,33.5,652,92.48,1,5,49.7,8,46.38,7.47,37.25,Batsman
M P Bicknell,odi,England,7,0,2,96,31,24.0,104,92.31,0,0,68.8,13,26.69,5.04,31.77,Bowler
S W Billings,odi,England,28,0,2,702,118,33.43,771,91.05,1,5,0.0,0,33.43,0.0,0.0,Batsman
I D Blackwell,odi,England,34,0,2,403,82,14.93,465,86.67,0,1,205.0,24,36.58,4.28,51.25,Bowler
R S Bopara,odi,England,120,0,21,2695,101,30.63,3462,77.85,1,14,310.0,40,38.08,4.91,46.5,Batsman
I T Botham,odi,England,116,0,15,2113,79,23.22,2671,79.11,0,9,1045.2,145,28.54,3.96,43.25,All-Rounder
G Boycott,odi,England,36,0,4,1082,105,36.07,2020,53.56,1,9,28.0,5,21.0,3.75,33.6,Batsman
J M Brearley,odi,England,25,0,3,510,78,24.29,1120,45.54,0,3,0.0,0,24.29,0.0,0.0,Batsman
T T Bresnan,odi,England,85,0,20,871,80,19.8,965,90.26,0,1,703.5,109,34.98,5.42,38.72,All-Rounder
B C Broad,odi,England,34,0,0,1361,106,40.03,2447,55.62,1,11,1.0,0,0.0,6.0,0.0,Batsman
S C J Broad,odi,England,121,0,25,529,45,12.3,709,74.61,0,0,1018.2,178,30.13,5.27,34.32,Bowler
H C Brook*,odi,England,38,0,4,1354,136,39.82,1286,105.29,3,6,0.0,0,39.82,0.0,0.0,Batsman
A D Brown,odi,England,16,0,0,354,118,22.13,427,82.9,1,1,1.0,0,0.0,5.0,0.0,Batsman
D R Brown,odi,England,9,0,4,99,21,24.75,143,69.23,0,0,54.0,7,43.57,5.65,46.29,Bowler
J C Buttler*,odi,England,199,0,30,5515,162,39.11,4788,115.18,11,29,0.0,0,39.11,0.0,0.0,Batsman
A R Caddick,odi,England,54,0,18,249,36,12.45,396,62.88,0,0,489.5,69,28.48,4.01,42.57,Bowler
D J Capel,odi,England,23,0,2,327,50,19.24,479,68.27,0,1,173.0,17,47.35,4.65,61.06,Bowler
M A Carberry,odi,England,6,0,0,114,63,19.0,180,63.33,0,1,1.0,0,0.0,12.0,0.0,Batsman
B A Carse*,odi,England,30,0,6,264,36,17.6,329,80.24,0,0,216.8,34,40.44,6.34,38.26,Bowler
R Clarke,odi,England,20,0,0,144,39,11.08,233,61.8,0,0,78.3,11,37.73,5.3,42.73,Bowler
P D Collingwood,odi,England,197,0,37,5092,120,35.36,6614,76.99,5,26,864.3,111,38.68,4.97,46.72,All-Rounder
A N Cook,odi,England,92,0,4,3204,137,36.41,4154,77.13,5,19,0.0,0,36.41,0.0,0.0,Batsman
G Cook,odi,England,6,0,0,106,32,17.67,261,40.61,0,0,0.0,0,17.67,0.0,0.0,Batsman
D G Cork,odi,England,32,0,3,180,31,10.0,271,66.42,0,0,295.3,41,33.37,4.63,43.22,Bowler
N G Cowans,odi,England,23,0,3,13,4,2.6,29,44.83,0,0,213.7,23,39.7,4.27,55.74,Bowler
J P Crawley,odi,England,13,0,1,235,73,21.36,408,57.6,0,2,0.0,0,21.36,0.0,0.0,Batsman
Z Crawley*,odi,England,9,0,1,205,58,25.63,216,94.91,0,2,0.0,0,25.63,0.0,0.0,Batsman
R D B Croft,odi,England,50,0,12,345,32,14.38,519,66.47,0,0,411.0,45,38.73,4.24,54.8,Bowler
S M Curran*,odi,England,41,0,3,642,95,22.93,724,88.67,0,2,254.2,37,42.49,6.18,41.22,Bowler
T K Curran,odi,England,28,0,9,303,47,37.88,321,94.39,0,0,218.0,34,37.94,5.92,38.47,Bowler
J W M Dalrymple,odi,England,27,0,1,487,67,19.48,672,72.47,0,2,140.0,14,47.57,4.76,60.0,Batsman
S M Davies,odi,England,8,0,0,244,87,30.5,231,105.63,0,1,0.0,0,30.5,0.0,0.0,Batsman
L A Dawson*,odi,England,9,0,0,65,20,10.83,76,85.53,0,0,74.0,9,44.78,5.45,49.33,Bowler
P A J De Freitas,odi,England,103,0,23,690,67,16.05,823,83.84,0,1,952.0,115,32.83,3.97,49.67,Bowler
J L Denly,odi,England,16,0,0,446,87,34.31,629,70.91,0,4,17.0,1,101.0,5.94,102.0,Batsman
M H Denness,odi,England,12,0,2,264,66,29.33,417,63.31,0,1,0.0,0,29.33,0.0,0.0,Batsman
J W Dernbach,odi,England,24,0,1,19,5,2.71,39,48.72,0,0,205.7,31,42.19,6.36,39.81,Bowler
G R Dilley,odi,England,36,0,8,114,31,11.4,133,85.71,0,0,340.5,48,26.9,3.79,42.56,Bowler
P R Downton,odi,England,28,0,5,242,44,16.13,358,67.6,0,0,0.0,0,16.13,0.0,0.0,Batsman
B M Duckett*,odi,England,34,0,1,1345,165,40.76,1355,99.26,3,9,0.0,0,40.76,0.0,0.0,Batsman
M A Ealham,odi,England,64,0,4,716,45,17.46,1092,65.57,0,0,537.8,67,32.79,4.08,48.16,All-Rounder
P H Edmonds,odi,England,29,0,7,116,20,10.55,232,50.0,0,0,255.7,26,37.12,3.77,59.0,Bowler
J H Edrich,odi,England,7,0,0,223,90,37.17,325,68.62,0,2,0.0,0,37.17,0.0,0.0,Batsman
R M Ellison,odi,England,14,0,4,86,24,10.75,110,78.18,0,0,116.0,12,42.5,4.4,58.0,Bowler
J E Emburey,odi,England,61,0,10,501,34,14.31,664,75.45,0,0,570.8,76,30.87,4.11,45.07,Bowler
N H Fairbrother,odi,England,75,0,18,2092,113,39.47,2903,72.06,1,16,1.0,0,0.0,9.0,0.0,Batsman
S T Finn,odi,England,69,0,13,136,35,8.0,223,60.99,0,0,591.7,102,29.37,5.06,34.8,Bowler
M V Fleming,odi,England,11,0,1,139,33,15.44,137,101.46,0,0,87.2,17,25.53,4.98,30.76,Bowler
K W R Fletcher,odi,England,24,0,3,757,131,39.84,1134,66.75,1,5,0.0,0,39.84,0.0,0.0,Batsman
A Flintoff,odi,England,138,0,16,3293,123,31.97,3694,89.14,3,18,916.0,168,23.62,4.33,32.71,All-Rounder
J S Foster,odi,England,11,0,3,41,13,13.67,71,57.75,0,0,0.0,0,13.67,0.0,0.0,Batsman
N A Foster,odi,England,48,0,12,150,24,11.54,244,61.48,0,0,437.8,59,31.12,4.19,44.53,Bowler
G Fowler,odi,England,26,0,2,744,81,31.0,1321,56.32,0,4,0.0,0,31.0,0.0,0.0,Batsman
A R C Fraser,odi,England,42,0,9,141,38,12.82,208,67.79,0,0,398.7,47,30.04,3.54,50.89,Bowler
B N French,odi,England,13,0,3,34,9,6.8,71,47.89,0,0,0.0,0,6.8,0.0,0.0,Batsman
M W Gatting,odi,England,92,0,17,2095,115,29.51,2968,70.59,1,9,65.3,10,33.6,5.14,39.2,Batsman
A F Giles,odi,England,62,0,13,385,41,17.5,551,69.87,0,0,476.0,55,37.62,4.35,51.93,Bowler
G A Gooch,odi,England,125,0,6,4290,142,36.98,6934,61.87,8,23,344.3,36,42.11,4.4,57.39,Batsman
D Gough,odi,England,158,0,38,609,46,12.43,947,64.31,0,0,1403.7,234,26.3,4.38,35.99,Bowler
I J Gould,odi,England,18,0,2,155,42,12.92,243,63.79,0,0,0.0,0,12.92,0.0,0.0,Batsman
D I Gower,odi,England,114,0,8,3170,158,30.78,4218,75.15,7,12,0.8,0,0.0,16.8,0.0,Batsman
A W Greig,odi,England,22,0,3,269,48,16.81,378,71.16,0,0,152.7,19,32.58,4.05,48.21,Bowler
H F Gurney,odi,England,10,0,4,15,6,7.5,33,45.45,0,0,75.8,11,39.27,5.7,41.36,Bowler
A D Hales,odi,England,70,0,3,2419,171,37.8,2527,95.73,6,14,0.0,0,37.8,0.0,0.0,Batsman
S J Harmison,odi,England,58,0,14,91,18,8.27,141,64.54,0,0,483.2,76,32.64,5.13,38.14,Bowler
F C Hayes,odi,England,6,0,1,128,52,25.6,235,54.47,0,1,0.0,0,25.6,0.0,0.0,Batsman
D W Headley,odi,England,13,0,4,22,10,11.0,49,44.9,0,0,99.0,11,47.27,5.25,54.0,Bowler
E E Hemmings,odi,England,33,0,6,30,8,5.0,61,49.18,0,0,292.0,37,34.97,4.43,47.35,Bowler
M Hendrick,odi,England,22,0,5,6,2,1.2,22,27.27,0,0,208.0,35,19.46,3.27,35.66,Bowler
G A Hick,odi,England,120,0,15,3846,126,37.34,5191,74.09,5,27,206.0,30,34.2,4.98,41.2,Batsman
M J Hoggard,odi,England,26,0,2,17,7,4.25,30,56.67,0,0,217.7,32,36.0,5.29,40.81,Bowler
A J Hollioake,odi,England,35,0,6,606,83,25.25,807,75.09,0,3,201.3,32,31.84,5.06,37.75,Bowler
B C Hollioake,odi,England,20,0,2,309,63,20.6,381,81.1,0,2,107.0,8,66.5,4.97,80.25,Batsman
N Hussain,odi,England,88,0,10,2332,115,30.29,3481,66.99,1,16,0.0,0,30.29,0.0,0.0,Batsman
R K Illingworth,odi,England,25,0,5,68,14,11.33,119,57.14,0,0,250.2,30,35.3,4.23,50.03,Bowler
R C Irani,odi,England,31,0,5,360,53,14.4,549,65.57,0,1,213.8,24,41.21,4.63,53.46,Bowler
R D Jackman,odi,England,15,0,1,54,14,6.75,93,58.06,0,0,145.5,19,31.47,4.11,45.95,Bowler
W G Jacks*,odi,England,23,0,2,629,94,33.11,603,104.31,0,4,72.0,9,49.67,6.21,48.0,Batsman
P W Jarvis,odi,England,16,0,2,31,16,5.17,39,79.49,0,0,146.5,24,28.0,4.59,36.63,Bowler
T E Jesty,odi,England,10,0,4,127,52,21.17,182,69.78,0,1,18.0,1,93.0,5.17,108.0,Batsman
R L Johnson,odi,England,10,0,1,16,10,5.33,20,80.0,0,0,67.0,11,21.73,3.57,36.55,Bowler
G O Jones,odi,England,49,0,8,815,80,24.7,1042,78.21,0,4,0.0,0,24.7,0.0,0.0,Batsman
S P Jones,odi,England,8,0,0,1,1,1.0,2,50.0,0,0,58.0,7,39.29,4.74,49.71,Bowler
C J Jordan*,odi,England,35,0,9,184,38,12.27,211,87.2,0,0,275.7,46,36.04,6.01,35.96,Bowler
E C Joyce,odi,England,17,0,0,471,107,27.71,709,66.43,1,3,0.0,0,27.71,0.0,0.0,Batsman
Kabir Ali,odi,England,14,0,3,93,39,15.5,108,86.11,0,0,112.2,20,34.1,6.08,33.65,Bowler
R W T Key,odi,England,5,0,0,54,19,10.8,135,40.0,0,0,0.0,0,10.8,0.0,0.0,Batsman
C Kieswetter,odi,England,46,0,5,1054,107,30.11,1172,89.93,1,5,0.0,0,30.11,0.0,0.0,Batsman
R J Kirtley,odi,England,11,0,0,2,1,1.0,11,18.18,0,0,91.5,9,53.44,5.26,61.0,Bowler
N V Knight,odi,England,100,0,10,3637,125,40.41,5084,71.54,5,25,0.0,0,40.41,0.0,0.0,Batsman
A P E Knott,odi,England,20,0,4,200,50,20.0,247,80.97,0,1,0.0,0,20.0,0.0,0.0,Batsman
A J Lamb,odi,England,122,0,16,4010,118,39.31,5298,75.69,4,26,1.0,0,0.0,3.0,0.0,Batsman
W Larkins,odi,England,25,0,0,591,124,24.63,1047,56.45,1,0,2.5,0,0.0,8.8,0.0,Batsman
J K Lever,odi,England,22,0,4,56,27,8.0,152,36.84,0,0,192.0,24,29.71,3.71,48.0,Bowler
P Lever,odi,England,10,0,2,17,8,17.0,24,70.83,0,0,73.3,11,23.73,3.56,40.0,Bowler
C C Lewis,odi,England,53,0,14,374,33,14.38,459,81.48,0,0,437.5,66,29.42,4.44,39.77,Bowler
J Lewis,odi,England,13,0,2,50,17,8.33,63,79.37,0,0,119.3,18,27.78,4.19,39.78,Bowler
L S Livingstone*,odi,England,39,0,6,932,124,31.07,862,108.12,1,4,161.3,25,39.28,6.09,38.72,Batsman
D Lloyd,odi,England,8,0,1,285,116,40.71,526,54.18,1,0,2.0,1,3.0,1.5,12.0,Batsman
G D Lloyd,odi,England,6,0,1,39,22,9.75,80,48.75,0,0,0.0,0,9.75,0.0,0.0,Batsman
M B Loye,odi,England,7,0,0,142,45,20.29,184,77.17,0,0,0.0,0,20.29,0.0,0.0,Batsman
D L Maddy,odi,England,8,0,0,113,53,18.83,206,54.85,0,1,0.0,0,18.83,0.0,0.0,Batsman
S Mahmood*,odi,England,17,0,4,31,12,10.33,53,58.49,0,0,140.2,25,29.12,5.19,33.64,Bowler
S I Mahmood,odi,England,26,0,4,85,22,7.73,101,84.16,0,0,199.5,30,38.97,5.86,39.9,Bowler
D J Malan*,odi,England,30,0,4,1450,140,55.77,1488,97.45,6,7,2.5,1,17.0,6.8,15.0,Batsman
D E Malcolm,odi,England,10,0,2,9,4,3.0,11,81.82,0,0,87.7,16,25.25,4.61,32.88,Bowler
V J Marks,odi,England,34,0,3,285,44,13.57,434,65.67,0,0,303.3,44,25.8,3.74,41.36,Bowler
P J Martin,odi,England,20,0,7,38,6,6.33,53,71.7,0,0,174.7,27,29.85,4.61,38.81,Bowler
A D Mascarenhas,odi,England,20,0,2,245,52,22.27,257,95.33,0,1,137.0,13,48.77,4.63,63.23,Bowler
M P Maynard,odi,England,14,0,1,156,41,14.18,225,69.33,0,0,0.0,0,14.18,0.0,0.0,Batsman
A McGrath,odi,England,14,0,2,166,52,16.6,353,47.03,0,1,38.0,4,43.75,4.61,57.0,Batsman
G Miller,odi,England,25,0,2,136,46,8.5,265,51.32,0,0,211.3,25,32.52,3.85,50.72,Bowler
Moeen Ali*,odi,England,138,0,15,2355,128,24.28,2399,98.17,3,6,998.0,111,47.85,5.32,53.95,All-Rounder
E J G Morgan,odi,England,225,0,32,6957,148,39.75,7409,93.9,13,42,0.0,0,39.75,0.0,0.0,Batsman
J E Morris,odi,England,8,0,1,167,63,23.86,225,74.22,0,1,0.0,0,23.86,0.0,0.0,Batsman
M D Moxon,odi,England,8,0,0,174,70,21.75,325,53.54,0,1,0.0,0,21.75,0.0,0.0,Batsman
A D Mullally,odi,England,50,0,10,86,20,5.73,237,36.29,0,0,449.8,63,27.43,3.84,42.84,Bowler
P Mustard,odi,England,10,0,0,233,83,23.3,252,92.46,0,1,0.0,0,23.3,0.0,0.0,Batsman
P A Nixon,odi,England,19,0,4,297,49,21.21,347,85.59,0,0,0.0,0,21.21,0.0,0.0,Batsman
C M Old,odi,England,32,0,7,338,51,18.78,401,84.29,0,1,292.5,45,22.2,3.42,39.0,Bowler
C Overton,odi,England,7,0,2,68,32,22.67,76,89.47,0,0,51.3,5,58.2,5.67,61.6,Bowler
J Overton*,odi,England,13,0,0,272,68,27.2,244,111.48,0,1,70.3,14,29.5,5.87,30.14,Bowler
M S Panesar,odi,England,26,0,3,26,13,5.2,91,28.57,0,0,218.0,24,40.83,4.5,54.5,Bowler
M W Parkinson,odi,England,5,0,1,7,7,0.0,8,87.5,0,0,34.7,5,40.6,5.86,41.6,Bowler
S R Patel,odi,England,36,0,7,482,70,32.13,517,93.23,0,1,197.8,24,45.46,5.51,49.46,Batsman
K P Pietersen,odi,England,134,0,16,4422,130,41.33,5100,86.71,9,25,66.7,7,52.86,5.55,57.14,Batsman
L E Plunkett,odi,England,89,0,19,646,56,20.84,629,102.7,0,1,689.5,135,29.7,5.82,30.64,Bowler
M J Potts*,odi,England,11,0,5,45,15,45.0,62,72.58,0,0,67.0,12,33.33,5.97,33.5,Bowler
D R Pringle,odi,England,44,0,12,425,49,23.61,616,68.99,0,0,396.5,44,38.11,4.23,54.07,Bowler
M J Prior,odi,England,68,0,9,1282,87,24.19,1670,76.77,0,3,0.0,0,24.19,0.0,0.0,Batsman
N V Radford,odi,England,6,0,2,0,0,0.0,7,0.0,0,0,58.0,2,115.0,3.97,174.0,Bowler
M R Ramprakash,odi,England,18,0,4,376,51,26.86,544,69.12,0,1,22.0,4,27.0,4.91,33.0,Batsman
D W Randall,odi,England,49,0,5,1067,88,26.68,1702,62.69,0,5,0.3,1,2.0,6.0,2.0,Batsman
W B Rankin,odi,England,7,0,1,5,4,5.0,5,0.0,0,0,53.2,10,24.1,4.53,31.9,Bowler
A U Rashid*,odi,England,161,0,29,971,69,16.74,1039,93.46,0,1,1346.5,242,31.29,5.62,33.38,All-Rounder
C M W Read,odi,England,36,0,7,300,30,17.65,410,73.17,0,0,0.0,0,17.65,0.0,0.0,Batsman
D A Reeve,odi,England,29,0,9,291,35,24.25,389,74.81,0,0,191.2,20,41.0,4.29,57.35,Bowler
Rehan Ahmed*,odi,England,9,0,0,99,27,14.14,122,81.15,0,0,66.0,12,29.25,5.32,33.0,Bowler
S J Rhodes,odi,England,9,0,2,107,56,17.83,150,71.33,0,1,0.0,0,17.83,0.0,0.0,Batsman
