player_name,format,country,matches_played,batting_innings,not_outs,runs_scored,highest_score,batting_average,balls_faced,batting_strike_rate,hundreds,fifties,overs_bowled,wickets,bowling_average,economy_rate,bowling_strike_rate,label
P Jayawickrama,t20i,Sri Lanka,5,0,1,0,0,0.0,5,0.0,0,0,13.2,2,59.0,8.96,39.5,Bowler
S H T Kandamby,t20i,Sri Lanka,5,0,0,13,10,3.25,21,61.9,0,0,0.0,0,3.25,0.0,0.0,Batsman
C K Kapugedera,t20i,Sri Lanka,43,0,7,703,50,22.68,591,118.95,0,1,0.0,0,22.68,0.0,0.0,Batsman
C Karunaratne*,t20i,Sri Lanka,45,0,17,308,31,16.21,297,103.7,0,0,117.8,24,41.25,8.4,29.46,Bowler
K M D N Kulasekara,t20i,Sri Lanka,58,0,9,215,31,10.24,184,116.85,0,0,205.2,66,23.18,7.46,18.65,Bowler
L Kumara*,t20i,Sri Lanka,26,0,3,10,4,3.33,11,90.91,0,0,90.7,33,22.88,8.33,16.48,Bowler
R A S Lakmal,t20i,Sri Lanka,11,0,3,7,5,2.33,11,63.64,0,0,34.7,8,41.25,9.52,26.0,Bowler
K L J Liyanage*,t20i,Sri Lanka,14,0,5,181,41,22.63,175,103.43,0,0,2.3,0,0.0,13.71,0.0,Batsman
P Madushan*,t20i,Sri Lanka,9,0,1,2,1,1.0,4,50.0,0,0,28.2,12,20.75,8.84,14.08,Bowler
L D Madushanka*,t20i,Sri Lanka,19,0,1,2,1,0.4,9,22.22,0,0,63.0,20,29.5,9.37,18.9,Bowler
M F Maharoof,t20i,Sri Lanka,8,0,1,33,13,8.25,43,76.74,0,0,27.0,7,28.43,7.37,23.14,Bowler
S L Malinga,t20i,Sri Lanka,84,0,12,136,27,6.48,161,84.47,0,0,299.8,107,20.79,7.42,16.81,Bowler
A D Mathews*,t20i,Sri Lanka,90,0,22,1416,81,27.76,1175,120.51,0,6,194.8,44,31.57,7.13,26.57,All-Rounder
B A W Mendis,t20i,Sri Lanka,39,0,5,8,4,2.67,17,47.06,0,0,147.5,66,14.42,6.45,13.41,Bowler
B K G Mendis*,t20i,Sri Lanka,106,0,6,2622,86,26.22,2022,129.67,0,20,0.0,0,26.22,0.0,0.0,Batsman
B M A J Mendis,t20i,Sri Lanka,22,0,4,207,43,18.82,174,118.97,0,0,35.0,12,20.75,7.11,17.5,Bowler
P H K D Mendis*,t20i,Sri Lanka,43,0,4,671,65,19.74,515,130.29,0,3,29.0,5,47.6,8.21,34.8,Batsman
RVPK Mishara*,t20i,Sri Lanka,22,0,2,477,76,23.85,371,128.57,0,3,1.0,0,0.0,10.0,0.0,Batsman
J Mubarak,t20i,Sri Lanka,16,0,4,238,46,21.64,188,126.6,0,0,1.3,1,17.0,12.75,8.0,Batsman
E M D Y Munaweera,t20i,Sri Lanka,13,0,1,215,53,17.92,164,131.1,0,1,10.0,1,92.0,9.2,60.0,Batsman
M Muralitharan,t20i,Sri Lanka,12,0,0,1,1,0.5,5,20.0,0,0,47.0,13,22.85,6.32,21.69,Bowler
P Nissanka*,t20i,Sri Lanka,91,0,5,2648,107,31.15,2068,128.05,2,19,0.0,0,31.15,0.0,0.0,Batsman
M Pathirana*,t20i,Sri Lanka,29,0,5,19,6,3.17,37,51.35,0,0,90.8,40,18.85,8.3,13.63,Bowler
S S Pathirana,t20i,Sri Lanka,5,0,0,27,14,5.4,24,112.5,0,0,15.8,5,23.8,7.52,19.0,Bowler
Pavan Rathnayake*,t20i,Sri Lanka,12,0,1,266,60,29.56,181,146.96,0,2,2.0,2,5.5,5.5,6.0,Batsman
A K Perera,t20i,Sri Lanka,6,0,0,59,16,11.8,65,90.77,0,0,1.0,0,0.0,17.0,0.0,Batsman
M D K J Perera*,t20i,Sri Lanka,95,0,4,2335,101,26.24,1757,132.9,1,16,0.0,0,26.24,0.0,0.0,Batsman
N L T C Perera,t20i,Sri Lanka,80,0,21,1047,58,21.37,714,146.64,0,2,170.7,45,35.09,9.25,22.76,All-Rounder
N Pradeep,t20i,Sri Lanka,16,0,5,10,8,10.0,15,66.67,0,0,46.3,15,29.07,9.41,18.53,Bowler
S Prasanna,t20i,Sri Lanka,20,0,6,214,37,15.29,161,132.92,0,0,50.0,10,35.9,7.18,30.0,Batsman
P B B Rajapaksa*,t20i,Sri Lanka,45,0,7,744,77,22.55,570,130.53,0,3,0.0,0,22.55,0.0,0.0,Batsman
K Rajitha*,t20i,Sri Lanka,18,0,5,31,9,10.33,53,58.49,0,0,66.0,17,36.18,9.32,23.29,Bowler
S Randiv,t20i,Sri Lanka,7,0,0,8,6,4.0,6,133.33,0,0,21.0,7,19.86,6.62,18.0,Bowler
S Samarawickrama*,t20i,Sri Lanka,19,0,2,310,61,19.38,282,109.93,0,2,0.0,0,19.38,0.0,0.0,Batsman
P A D L R Sandakan,t20i,Sri Lanka,20,0,4,23,10,7.67,38,60.53,0,0,76.7,23,24.22,7.27,20.0,Bowler
K C Sangakkara,t20i,Sri Lanka,56,0,9,1382,78,31.41,1156,119.55,0,8,0.0,0,31.41,0.0,0.0,Batsman
J R M V B Sanjaya,t20i,Sri Lanka,8,0,2,20,6,6.67,18,111.11,0,0,28.8,9,27.78,8.67,19.22,Bowler
S M S M Senanayake,t20i,Sri Lanka,24,0,6,56,17,9.33,66,84.85,0,0,81.0,25,21.96,6.78,19.44,Bowler
D Shanaka*,t20i,Sri Lanka,131,0,25,1912,76,20.56,1489,128.41,0,8,140.2,46,25.11,8.24,18.28,All-Rounder
L P C Silva,t20i,Sri Lanka,16,0,2,175,38,13.46,177,98.87,0,0,3.0,1,15.0,5.0,18.0,Batsman
T A M Siriwardana,t20i,Sri Lanka,22,0,3,275,42,17.19,208,132.21,0,0,23.0,8,25.75,8.96,17.25,Batsman
W U Tharanga,t20i,Sri Lanka,26,0,1,407,47,16.28,330,123.33,0,0,0.0,0,16.28,0.0,0.0,Batsman
M M Theekshana*,t20i,Sri Lanka,82,0,14,107,14,4.46,173,61.85,0,0,308.0,82,26.71,7.11,22.54,Bowler
H D R L Thirimanne,t20i,Sri Lanka,26,0,2,291,44,16.17,267,108.99,0,0,0.0,0,16.17,0.0,0.0,Batsman
I D N Thushara*,t20i,Sri Lanka,30,0,8,10,6,5.0,29,34.48,0,0,99.8,36,22.64,8.16,16.64,Bowler
T Thushara,t20i,Sri Lanka,6,0,0,4,3,2.0,8,50.0,0,0,22.0,7,25.57,8.14,18.86,Bowler
I Udana,t20i,Sri Lanka,35,0,11,256,84,18.29,186,137.63,0,1,105.2,27,33.89,8.7,23.37,Bowler
M L Udawatte,t20i,Sri Lanka,8,0,0,96,25,12.0,87,110.34,0,0,0.0,0,12.0,0.0,0.0,Batsman
W P U J C Vaas,t20i,Sri Lanka,6,0,1,33,21,33.0,41,80.49,0,0,22.0,6,21.33,5.82,22.0,Bowler
J D F Vandersay*,t20i,Sri Lanka,17,0,6,35,8,11.67,40,87.5,0,0,61.3,8,61.13,7.97,46.0,Bowler
Wanindu Hasaranga*,t20i,Sri Lanka,95,0,18,807,71,13.68,639,126.29,0,2,352.0,154,16.06,7.03,13.71,All-Rounder
K Weeraratne,t20i,Sri Lanka,5,0,2,49,20,16.33,45,108.89,0,0,15.0,4,31.5,8.4,22.5,Bowler
D N Wellalage*,t20i,Sri Lanka,15,0,5,93,29,18.6,91,102.2,0,0,57.5,17,25.24,7.46,20.29,Bowler
B J Bennett*,t20i,Zimbabwe,58,0,6,1888,111,36.31,1314,143.68,1,12,24.3,6,34.0,8.38,24.33,Batsman
R P Burl*,t20i,Zimbabwe,118,0,32,1948,67,25.3,1559,124.95,0,4,195.3,62,22.95,7.28,18.9,All-Rounder
J M R Campbell*,t20i,Zimbabwe,9,0,1,123,45,15.38,101,121.78,0,0,0.0,0,15.38,0.0,0.0,Batsman
R W Chakabva,t20i,Zimbabwe,49,0,2,682,48,14.51,557,122.44,0,0,0.0,0,14.51,0.0,0.0,Batsman
T L Chatara*,t20i,Zimbabwe,60,0,10,49,8,8.17,77,63.64,0,0,213.5,65,23.95,7.29,19.71,Bowler
C J Chibhabha,t20i,Zimbabwe,36,0,0,667,67,19.06,609,109.52,0,5,53.8,14,32.5,8.45,23.07,Batsman
E Chigumbura,t20i,Zimbabwe,57,0,9,893,54,19.0,635,140.63,0,3,46.0,16,26.69,9.28,17.25,Batsman
T S Chisoro,t20i,Zimbabwe,14,0,3,43,14,10.75,47,91.49,0,0,53.0,12,30.67,6.94,26.5,Bowler
C K Coventry,t20i,Zimbabwe,13,0,2,127,30,12.7,90,141.11,0,0,0.0,0,12.7,0.0,0.0,Batsman
A G Cremer*,t20i,Zimbabwe,35,0,7,71,17,5.07,112,63.39,0,0,116.0,40,20.73,7.15,17.4,Bowler
K M Dabengwa,t20i,Zimbabwe,8,0,3,46,16,11.5,40,115.0,0,0,11.0,2,53.0,9.64,33.0,Batsman
C R Ervine*,t20i,Zimbabwe,71,0,4,1449,70,21.95,1370,105.77,0,9,0.0,0,21.95,0.0,0.0,Batsman
B Evans*,t20i,Zimbabwe,31,0,4,140,43,10.77,122,114.75,0,0,103.7,46,18.0,7.99,13.52,Bowler
M Faraz Akram*,t20i,Zimbabwe,10,0,4,97,34,24.25,71,136.62,0,0,24.8,2,128.0,10.31,74.5,Batsman
T W Gwandu*,t20i,Zimbabwe,19,0,5,24,8,12.0,36,66.67,0,0,47.5,16,25.94,8.74,17.81,Bowler
K M Jarvis,t20i,Zimbabwe,22,0,5,55,27,7.86,64,85.94,0,0,74.7,28,23.75,8.91,16.0,Bowler
L M Jongwe*,t20i,Zimbabwe,65,0,15,509,35,15.42,419,121.48,0,0,170.0,66,22.26,8.64,15.45,All-Rounder
I Kaia*,t20i,Zimbabwe,19,0,0,290,54,15.26,277,104.69,0,1,2.0,0,0.0,4.5,0.0,Batsman
T S Kamunhukamwe*,t20i,Zimbabwe,15,0,0,304,44,20.27,288,105.56,0,0,0.0,0,20.27,0.0,0.0,Batsman
G A Lamb,t20i,Zimbabwe,5,0,2,32,14,16.0,54,59.26,0,0,12.2,4,20.0,6.58,18.25,Bowler
C Madande*,t20i,Zimbabwe,41,0,7,493,53,18.26,444,111.04,0,1,0.0,0,18.26,0.0,0.0,Batsman
W N Madhevere*,t20i,Zimbabwe,79,0,8,1256,73,19.03,1096,114.6,0,7,70.0,15,32.73,7.01,28.0,Batsman
N Madziva,t20i,Zimbabwe,15,0,5,88,28,17.6,80,110.0,0,0,46.8,12,34.75,8.9,23.42,Bowler
T T Maposa*,t20i,Zimbabwe,21,0,6,92,32,13.14,76,121.05,0,0,58.3,15,36.73,9.45,23.33,Bowler
T Maruma,t20i,Zimbabwe,13,0,4,100,23,11.11,109,91.74,0,0,3.0,1,20.0,6.67,18.0,Batsman
